area_id,area_id,city,district,latitude,longitude
9909,용인사거리,경기,용인시,37.235493,127.208816
9445,사상역 남부 1번출구,null,null,0.000000,0.000000
9310,역삼역북부 7번출구,null,null,0.000000,0.000000
9163,연신내역,서울,은평구,37.619204,126.921103
10182,온천1동,대전,유성구,36.355074,127.348279
9792,왕조1동,전남,순천시,34.967073,127.525440
9210,강서구청,서울,강서구,37.550965,126.849534
9198,서울시청,서울,중구,37.566824,126.978652
9595,물급읍,null,null,0.000000,0.000000
10084,안양3동,경기,안양시,37.400829,126.915758
9724,첨단2동,광주,광산구,35.210229,126.840094
9450,부산대역,부산,금정구,35.229649,129.089425
9905,수지구청,경기,용인시,37.322115,127.097682
9875,영통역,경기,수원시,37.251504,127.071332
9879,광교,경기,수원시,37.292627,127.049840
9481,경성대부경대역,부산,남구,35.137600,129.100519
9978,이천종합터미널,경기,이천시,37.277421,127.446936
10043,마두역,경기,고양시,37.652241,126.777611
9292,선릉역 북부 5번출구,null,null,0.000000,0.000000
10025,부천시청,경기,부천시,37.503506,126.766029
9367,양재역,서울,서초구,37.484577,127.034164
9939,광명사거리역,경기,광명시,37.479298,126.854874
9193,동대문역사문화공원역,서울,중구,37.565664,127.009004
9903,쥬네브썬월드,경기,용인시,37.278044,127.152158
9635,대구 동천동,대구,북구,35.934970,128.555384
9252,천호역 남부,서울,강동구,37.545529,127.123297
10118,인천소래포구,인천,남동구,37.397649,126.739489
10210,신부동먹자골목,충남,천안시,36.832509,127.135694
9240,여의도역 남부,서울,영등포구,37.523781,126.926876
9614,성서산업단지역,대구,달서구,35.851715,128.507000
9181,종로5가역 북부 1번출구,null,null,0.000000,0.000000
9182,종로5가역 북부 3번출구,null,null,0.000000,0.000000
10097,안산 중앙역,경기,안산시,37.315995,126.838830
9692,중앙상가,경북,포항시,36.038434,129.364490
9988,돌다리사거리,경기,구리시,37.600992,127.141190
10102,구월동로데오거리,인천,남동구,37.445076,126.702058
9919,평택오거리,경기,평택시,36.989664,126.932737
9515,하단역,부산,사하구,35.106239,128.966787
9270,방이동 먹자골목,서울,송파구,37.514783,127.109221
9287,뱅뱅사거리,서울,강남구,37.489547,127.031661
9804,연동,제주특별자치도,제주시,33.469784,126.493266
10077,평촌역,경기,안양시,37.394240,126.963808
10190,대흥동,대전,중구,36.324718,127.430342
9926,반석사근린공원,null,null,0.000000,0.000000
9753,이마트,서울,은평구,37.600275,126.920179
9755,평화광장,전남,목포시,34.796645,126.433802
9534,울산 달동,울산,남구,35.532102,129.315568
9559,도서동,경기,화성시,37.185864,127.087736
9874,아주대삼거리,경기,수원시,37.274674,127.044099
10005,의정부역,경기,의정부시,37.738362,127.045957
9953,광주종합터미널,경기,광주시,37.409609,127.261307
10215,천안종합버스터미널,충남,천안시,36.819255,127.154428
9553,울산 성남동,울산,중구,35.554308,129.320792
9437,덕천역,부산,북구,35.210435,129.005175
10040,화정역 남부,경기,고양시,37.620357,126.834320
9211,발산역,서울,강서구,37.558678,126.837736
9382,창동역,서울,도봉구,37.653339,127.047645
10195,은행동,경기,시흥시,37.441682,126.806216
10277,정릉역,서울,성북구,37.602615,127.013540
10044,백석역 남부,경기,고양시,37.649389,126.780435
