pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011600	강원도 강릉시 내곡동	집합	1**	남부로125번길	제3종일반주거	제1종근린생활	12m미만	28.41		2900	3	200702	12		1994
4215010500	강원도 강릉시 임당동	집합	1**	경강로	일반상업	제1종근린생활	25m이상	30		28500	1	200702	9		1995
4215011100	강원도 강릉시 포남동	집합	1***	하평길	제3종일반주거	제1종근린생활	25m미만	33.12		8500	1	200702	15		1994
4282032024	강원도 고성군 죽왕면 공현진리	일반	2*	공현진해변길	관리	기타	8m미만	203.22	245.00	20600	null	200702	13		1990
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	관리	숙박	12m미만	7.24		600	null	200702	2	지분	1992
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	600	null	200702	2	지분	1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	4.02		200	null	200702	5	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	815	null	200702	5	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	805	null	200702	9	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1450	null	200702	13	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	850	null	200702	14	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1470	null	200702	22	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1200	null	200702	24	지분	1991
4217010700	강원도 동해시 동회동	집합	8*	효자남길	제2종일반주거	제1종근린생활	12m미만	22.5		3500	1	200702	14		1999
4217011000	강원도 동해시 부곡동	일반	7*	발한로	제2종일반주거	기타	25m이상	2188.14	964.70	85000	null	200702	1		1992
4217010100	강원도 동해시 천곡동	일반	8**	중앙로	일반상업	기타	25m이상	1785.74	374.95	135000	null	200702	7	지분	1991
4217010100	강원도 동해시 천곡동	집합	8**	천곡1길	일반상업	제1종근린생활	-	27.08		7000	1	200702	9		1996
4217010100	강원도 동해시 천곡동	일반	1***	한섬로	제2종일반주거	기타	25m미만	677.95	229.10	31000	null	200702	13		1992
4217010100	강원도 동해시 천곡동	집합	4**	평릉길	일반상업	제1종근린생활	25m이상	144.84		18100	2	200702	21		2005
4217010100	강원도 동해시 천곡동	집합	9**	동굴로	일반상업	제1종근린생활	25m미만	17.33		1000	1	200702	27		1993
4217010100	강원도 동해시 천곡동	집합	1***	중앙로	일반상업	제2종근린생활	25m이상	173.92		30000	3	200702	28		2001
4223012000	강원도 삼척시 남양동	집합	3**	남양길	제3종일반주거	판매	25m미만	64.08		2500	1	200702	6		1988
4223012000	강원도 삼척시 남양동	일반	5*	진주로	일반상업	기타	12m미만	615.26	228.00	60000	null	200702	9		1983
4223011000	강원도 삼척시 마달동	일반	3*	마달1길	제2종일반주거	기타	8m미만	115	951.00	8300	null	200702	12		1998
4221010400	강원도 속초시 금호동	일반	4**	청초호반로	일반상업	기타	12m미만	193.76	226.98	23000	null	200702	15	지분	1993
