pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	56.1		13000	2	201108	16		1981
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	56.1		14000	2	201108	16		1981
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	75.9		29000	1	201108	16		1981
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	75.9		29000	1	201108	16		1981
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	5.34		500	null	201108	31	지분	1990
4215033021	강원도 강릉시 구정면 여찬리	일반	5**	범일로417번길	계획관리	제2종근린생활	8m미만	187.65	992.00	22000	null	201108	4		2005
4215013800	강원도 강릉시 안현동	집합	5*	-	자연환경보전	숙박	8m미만	26.19		1162	2	201108	26	지분	1998
4215035029	강원도 강릉시 옥계면 금진리	일반	9**	헌화로	농림	제2종근린생활	8m미만	213.8	430.00	5873	null	201108	18		1996
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	28.94		14900	6	201108	11		2009
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	119.65		21620	4	201108	17		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	138.78		24380	4	201108	17		2007
4215025022	강원도 강릉시 주문진읍 교항리	일반	1***	보리골안길	자연녹지	제1종근린생활	8m미만	81.9	365.00	11011	null	201108	20		1985
4215011100	강원도 강릉시 포남동	집합	1***	하평길	제3종일반주거	제2종근린생활	25m미만	32.1		13000	1	201108	1		1995
4215011100	강원도 강릉시 포남동	일반	1***	명륜로	제2종일반주거	제1종근린생활	12m미만	165.72	313.20	16300	null	201108	4		1995
4215011100	강원도 강릉시 포남동	일반	1***	경강로	제2종일반주거	제1종근린생활	25m이상	137.88	369.70	33800	null	201108	5		1993
4215011100	강원도 강릉시 포남동	일반	1***	남구길24번길	제2종일반주거	업무	12m미만	250.16	108.00	15000	null	201108	8		1995
4215011100	강원도 강릉시 포남동	일반	1***	산양길	제1종일반주거	제1종근린생활	12m미만	173.72	111.90	11300	null	201108	25		1992
4215010100	강원도 강릉시 홍제동	일반	9*	경강로	제2종일반주거	제1종근린생활	25m이상	125.35	107.00	7500	null	201108	31		1979
4282025321	강원도 고성군 거진읍 거진리	일반	2**	거탄진로	일반상업	제2종근린생활	25m미만	142.02	60.00	11000	null	201108	23		null
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	1.41		506	null	201108	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	.71		260	null	201108	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	1.41		506	null	201108	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	.71		260	null	201108	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	1.41		506	null	201108	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	.71		260	null	201108	1	지분	1992
