pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011000	강원도 강릉시 교동	일반	1***	교동광장로	일반상업	제2종근린생활	25m이상	689.78	499.90	460000	null	201805	16		2017
4215010300	강원도 강릉시 명주동	일반	5*	경강로2024번길	제2종일반주거	제1종근린생활	8m미만	54.91	117.00	15000	null	201805	21		1961
4215010800	강원도 강릉시 성남동	일반	1**	중앙시장2길	일반상업	판매	8m미만	284.72	406.90	42000	null	201805	8		2006
4215010800	강원도 강릉시 성남동	일반	2**	임영로	일반상업	제2종근린생활	25m미만	124.46	172.00	24500	null	201805	11		1953
4215013800	강원도 강릉시 안현동	일반	8**	경포로475번길	계획관리	제2종근린생활	12m미만	399.5	232.19	50000	null	201805	9		1998
4215037023	강원도 강릉시 연곡면 동덕리	일반	2**	조부동길	계획관리	제1종근린생활	12m미만	657.09	1923.00	44700	null	201805	18		2002
4215037029	강원도 강릉시 연곡면 퇴곡리	일반	5**	진고개로	계획관리	제2종근린생활	25m미만	229.8	407.00	17008	null	201805	28		1996
4215010900	강원도 강릉시 옥천동	집합	2**	옥천로	일반상업	제1종근린생활	25m미만	25		4570	null	201805	28		1977
4215025022	강원도 강릉시 주문진읍 교항리	일반	1***	신리천로	제2종일반주거	제2종근린생활	25m미만	272	245.00	41500	null	201805	31		2000
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로457번길	제2종일반주거	제1종근린생활	25m미만	115.92	198.70	16500	null	201805	2		1992
4215011100	강원도 강릉시 포남동	일반	1***	보래미하길41번길	제2종일반주거	제2종근린생활	12m미만	126.3	117.10	14500	null	201805	10		1986
4215011100	강원도 강릉시 포남동	일반	1***	보래미하길29번길	제2종일반주거	제1종근린생활	12m미만	299.99	717.70	43000	null	201805	13		1993
4215011100	강원도 강릉시 포남동	일반	1***	경강로	제2종일반주거	제1종근린생활	25m이상	385.22	333.00	60500	null	201805	28		2013
