pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215012100	강원도 강릉시 노암동	집합	3**	노암길42번길	제3종일반주거	제1종근린생활	12m미만	27		4000	1	200603	9		1994
4215025021	강원도 강릉시 주문진읍 주문리	집합	3**	시장2길	일반상업	판매	12m미만	3.75		900	null	200603	8		1937
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로443번길	제2종일반주거	제2종근린생활	12m미만	188.04	124.20	19000	null	200603	8		1984
4282025022	강원도 고성군 간성읍 신안리	일반	2**	간성북로7번길	일반상업	기타	8m미만	192	78.00	6000	null	200603	14		1985
4282025321	강원도 고성군 거진읍 거진리	일반	2**	거진시장뒷길	일반상업	제1종근린생활	8m미만	96.66	109.00	3000	null	200603	10		1975
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	관리	숙박	25m이상	4.92		549	null	200603	23	지분	1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	관리	숙박	25m이상	4.92		450	null	200603	27	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	700	null	200603	1	지분	1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	5.4		500	null	200603	2	지분	1997
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	900	null	200603	3	지분	1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	6.4		600	null	200603	7	지분	1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	5.4		690	null	200603	8	지분	1997
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1400	null	200603	13	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1800	null	200603	14	지분	1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	4.02		320	null	200603	22	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1370	null	200603	22	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1000	null	200603	27	지분	1991
