pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215034028	강원도 강릉시 강동면 정동진리	일반	3**	정동역길	계획관리	제1종근린생활	8m미만	275.43	217.00	50000	null	201803	26		1999
4215034028	강원도 강릉시 강동면 정동진리	일반	3*	헌화로	계획관리	숙박	8m미만	582.6	466.00	57700	null	201803	30		2000
4215011300	강원도 강릉시 강문동	집합	2**	해안로	계획관리	숙박	25m이상	22.68		23500	10	201803	17		2018
4215011000	강원도 강릉시 교동	일반	1**	-	일반상업	제1종근린생활	12m미만	26.4	42.90	8431	null	201803	8		1955
4215011000	강원도 강릉시 교동	일반	1***	하슬라로206번길	제1종일반주거	제2종근린생활	25m미만	128.5	847.90	45000	null	201803	20		2003
4215010600	강원도 강릉시 금학동	집합	9*	신대학길	일반상업	제2종근린생활	12m미만	81.58		39000	2	201803	12		2015
4215010200	강원도 강릉시 남문동	일반	*	남문길	일반상업	제1종근린생활	12m미만	93.42	66.19	10000	null	201803	5		1943
4215012100	강원도 강릉시 노암동	일반	7**	안땔길	제2종일반주거	제1종근린생활	12m미만	357.69	180.00	37500	null	201803	7		1995
4215012100	강원도 강릉시 노암동	일반	2**	강중길	제2종일반주거	제1종근린생활	12m미만	181.4	199.00	8500	null	201803	15		1956
4215031023	강원도 강릉시 성산면 금산리	일반	3**	괴일길	계획관리	기타	8m미만	250.24	311.00	13000	null	201803	22		1988
4215035029	강원도 강릉시 옥계면 금진리	일반	5**	헌화로	계획관리	숙박	12m미만	365.26	310.00	22000	null	201803	10		1983
4215035024	강원도 강릉시 옥계면 도직리	일반	6*	-	계획관리	숙박	8m미만	235.71	748.00	15600	null	201803	5		2013
4215035024	강원도 강릉시 옥계면 도직리	일반	6*	-	계획관리	숙박	8m미만	499.37	748.00	30000	null	201803	5		2005
4215010900	강원도 강릉시 옥천동	집합	2**	옥천로	일반상업	제1종근린생활	25m미만	30		8000	1	201803	29		1977
4215010500	강원도 강릉시 임당동	일반	1**	경강로	일반상업	업무	25m이상	2808.4	1540.00	840000	null	201803	16		1989
4215025022	강원도 강릉시 주문진읍 교항리	일반	1**	-	일반상업	제1종근린생활	12m미만	1749.84	1133.00	224360	null	201803	12		1995
4215025021	강원도 강릉시 주문진읍 주문리	일반	2**	해안로	일반상업	제2종근린생활	25m미만	940.05	523.00	230250	null	201803	16		1990
4215011100	강원도 강릉시 포남동	일반	1***	보래미하길	제2종일반주거	제1종근린생활	12m미만	122.64	204.60	18600	null	201803	1		1995
4215011100	강원도 강릉시 포남동	일반	1***	산양큰길24번안길	제1종일반주거	제1종근린생활	8m미만	141.66	211.10	14700	null	201803	22		1990
4215011100	강원도 강릉시 포남동	일반	1***	경강로2302번길	준주거	숙박	12m미만	308.76	198.00	30000	null	201803	26		1985
4215011100	강원도 강릉시 포남동	일반	1***	경강로	준주거	제1종근린생활	25m이상	1047.11	330.20	68200	null	201803	26		1991
