pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011300	강원도 강릉시 강문동	집합	2**	해안로	계획관리	제2종근린생활	25m이상	9.53		46100	10	201801	1		2018
4215011300	강원도 강릉시 강문동	집합	2**	해안로	계획관리	제2종근린생활	25m이상	8.99		39300	10	201801	19		2018
4215011000	강원도 강릉시 교동	일반	2**	율곡로2874번길	일반상업	제2종근린생활	-	154.01	151.00	14000	null	201801	12		1979
4215011000	강원도 강릉시 교동	일반	1**	율곡로2874번길	일반상업	숙박	12m미만	628.66	228.00	71000	null	201801	22		1985
4215010200	강원도 강릉시 남문동	일반	*	남문길	일반상업	제1종근린생활	12m미만	93.42	66.19	10000	null	201801	9		1943
4215011600	강원도 강릉시 내곡동	일반	3**	남부로63번길	자연녹지	제2종근린생활	8m미만	99.75	665.00	25100	null	201801	23		2004
4215012100	강원도 강릉시 노암동	일반	5**	남부로136번길	자연녹지	제2종근린생활	8m미만	177.96	900.00	19600	null	201801	5		2002
4215012100	강원도 강릉시 노암동	일반	2**	강중길	제2종일반주거	제1종근린생활	12m미만	304.32	104.00	28300	null	201801	16		1994
4215036022	강원도 강릉시 사천면 노동리	일반	3**	중앙서로	계획관리	제2종근린생활	8m미만	86.12	312.00	7000	null	201801	6		2004
4215036025	강원도 강릉시 사천면 사천진리	일반	2**	해안로	제2종일반주거	제1종근린생활	8m미만	517.02	680.00	55000	null	201801	10		2003
4215010800	강원도 강릉시 성남동	일반	2**	임영로	일반상업	제1종근린생활	25m미만	438.65	195.00	62000	null	201801	24		1979
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	45.76		22000	6	201801	5		2009
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	36.82		23500	6	201801	5		2009
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로	일반상업	숙박	8m미만	240	177.20	38500	null	201801	19		1974
4215010500	강원도 강릉시 임당동	집합	7*	문화의길	일반상업	제1종근린생활	25m미만	120.24		46500	null	201801	15		1982
4215025022	강원도 강릉시 주문진읍 교항리	일반	8*	학교담길	제2종일반주거	제1종근린생활	12m미만	194.5	350.00	66500	null	201801	8		1994
4215025021	강원도 강릉시 주문진읍 주문리	집합	2**	해안로	일반공업	제2종근린생활	8m미만	29.52		9800	1	201801	10		1999
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로	제2종일반주거	제2종근린생활	25m이상	1075	399.20	82000	null	201801	9		1992
4215011100	강원도 강릉시 포남동	일반	1***	남구길30번길	제2종일반주거	제2종근린생활	12m미만	390.6	147.90	23600	null	201801	10		1993
4215011100	강원도 강릉시 포남동	일반	1***	경강로	준주거	제2종근린생활	25m이상	997.73	265.60	98500	null	201801	18		1995
4215011100	강원도 강릉시 포남동	일반	1***	남구길17번길	제2종일반주거	제2종근린생활	25m미만	882.84	263.90	71000	null	201801	24		2001
4215011100	강원도 강릉시 포남동	일반	1***	경강로2255번길	제2종일반주거	제2종근린생활	12m미만	1074.11	422.00	75000	null	201801	25		1995
4215010100	강원도 강릉시 홍제동	일반	9**	하슬라로	준주거	제2종근린생활	25m이상	159.78	485.40	64600	null	201801	12		2001
4215010100	강원도 강릉시 홍제동	집합	1***	선수촌로	준주거	제1종근린생활	25m이상	119.53		44837	2	201801	15		2017
4282025332	강원도 고성군 거진읍 반암리	일반	2*	자산천로	계획관리	제1종근린생활	25m미만	104.77	381.00	18000	null	201801	9		1992
4282032031	강원도 고성군 죽왕면 문암진리	일반	9*	백도해변길	계획관리	제1종근린생활	12m미만	52.74	221.00	31291	null	201801	31		2000
4282032029	강원도 고성군 죽왕면 삼포리	일반	2**	삼포민박촌2길	계획관리	제1종근린생활	8m미만	82.62	161.00	3130	null	201801	24		2018
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	4.75		250	30	201801	9		1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	5.94		415	50	201801	19		1991
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	9.13		1960	null	201801	5		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	5.87		1260	null	201801	16		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	5.22		1120	null	201801	26		1992
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		3365	null	201801	2		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		2617	null	201801	2		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		3365	null	201801	2		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	15.59		10814	2	201801	3		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		2617	null	201801	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		3365	null	201801	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		2617	null	201801	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	4.29		3365	null	201801	4		1991
