pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215034028	강원도 강릉시 강동면 정동진리	일반	4*	정동5길	계획관리	숙박	8m미만	767.65	982.00	83810	null	201409	26		1999
4215011500	강원도 강릉시 견소동	일반	2**	창해로14번길	근린상업	제2종근린생활	12m미만	142.76	87.00	50000	null	201409	24		2006
4215011000	강원도 강릉시 교동	일반	1***	하슬라로232번길	제1종일반주거	제2종근린생활	12m미만	978.69	460.60	135000	null	201409	10		2003
4215011000	강원도 강릉시 교동	집합	1***	하슬라로	제3종일반주거	제1종근린생활	12m미만	30.4		9500	1	201409	16		2001
4215010300	강원도 강릉시 명주동	일반	6*	경강로	제2종일반주거	제2종근린생활	25m이상	348.89	184.00	32500	null	201409	2		1979
4215010800	강원도 강릉시 성남동	일반	1**	중앙시장3길	일반상업	제1종근린생활	8m미만	876.95	326.00	57000	null	201409	13		1982
4215010900	강원도 강릉시 옥천동	집합	2**	옥천로	일반상업	제1종근린생활	25m미만	25		2800	null	201409	5		1977
4215013900	강원도 강릉시 운산동	일반	3**	독송길	계획관리	제1종근린생활	12m미만	138.56	380.00	10000	null	201409	30		1994
4215012500	강원도 강릉시 입암동	일반	5**	월대산로	제2종일반주거	제2종근린생활	25m미만	56.58	309.00	15500	null	201409	27		2001
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	12m미만	50.4		16500	1	201409	30		2006
4215011200	강원도 강릉시 초당동	일반	2**	초당원길	제2종일반주거	제2종근린생활	8m미만	202.26	552.00	28200	null	201409	17		1960
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로146번길	일반상업	숙박	8m미만	839.72	200.00	50000	null	201409	24		1994
4282025025	강원도 고성군 간성읍 상리	일반	2**	수성안길	제2종일반주거	제2종근린생활	8m미만	82.4	340.00	7600	null	201409	17		1985
4282025021	강원도 고성군 간성읍 하리	일반	3*	간성로	일반상업	제2종근린생활	25m미만	197.51	100.00	18900	null	201409	15		1984
4282032027	강원도 고성군 죽왕면 구성리	일반	3**	구둔길	계획관리	제1종근린생활	8m미만	96.59	438.00	4205	null	201409	25		1978
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	4.92		1150	null	201409	20		1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	5.94		350	null	201409	29		1991
4282033030	강원도 고성군 토성면 신평리	집합	4**	신평골길	계획관리	숙박	12m미만	3.67		270	10	201409	1		1985
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	.59		140	null	201409	22		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	11.82		2800	3	201409	22		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	신평골길	계획관리	숙박	12m미만	6.23		270	8	201409	23		1985
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	1.3		140	null	201409	30		1992
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	1.9		533	15	201409	1		1997
