pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011000	강원도 강릉시 교동	일반	1**	강릉대로	일반상업	제1종근린생활	25m이상	488.04	162.00	36000	null	201112	12		1976
4215011000	강원도 강릉시 교동	일반	1***	화부산로91번길	자연녹지	기타	-	492.5	829.00	30000	null	201112	14		2003
4215011000	강원도 강릉시 교동	일반	1**	강릉대로203번길	제2종일반주거	제2종근린생활	8m미만	66.12	159.00	7900	null	201112	31		1971
4215031021	강원도 강릉시 성산면 구산리	일반	2**	구산길	계획관리	제2종근린생활	25m미만	124.74	369.00	12000	null	201112	6		1994
4215010700	강원도 강릉시 용강동	집합	2*	임영로155번길	준주거	제1종근린생활	8m미만	21		600	2	201112	23		1982
4215010500	강원도 강릉시 임당동	집합	1**	경강로	일반상업	제2종근린생활	25m이상	110.16		20000	8	201112	27		1995
4215010500	강원도 강릉시 임당동	집합	1**	경강로	일반상업	제2종근린생활	25m이상	134.98		22000	8	201112	27		1995
4215010500	강원도 강릉시 임당동	집합	1**	경강로	일반상업	제2종근린생활	25m이상	108		20000	8	201112	27		1995
4215025021	강원도 강릉시 주문진읍 주문리	일반	8**	주문북로	제2종일반주거	숙박	25m미만	5560.66	6288.00	457220	null	201112	3		1988
4215025021	강원도 강릉시 주문진읍 주문리	집합	2**	해안로	일반공업	제2종근린생활	8m미만	14.78		5000	1	201112	13	지분	1999
4215025021	강원도 강릉시 주문진읍 주문리	집합	2**	해안로	일반공업	제2종근린생활	8m미만	14.78		5000	1	201112	13	지분	1999
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로547번길	제1종일반주거	제2종근린생활	25m미만	529.83	328.60	20000	null	201112	25		1990
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로188번길	제2종일반주거	제2종근린생활	12m미만	196.65	168.60	15400	null	201112	30		1990
4282025037	강원도 고성군 간성읍 흘리	일반	5*	흘리령길	계획관리	제2종근린생활	12m미만	311.4	338.00	19000	null	201112	13		1995
