pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215034028	강원도 강릉시 강동면 정동진리	일반	5*	헌화로	계획관리	숙박	8m미만	1277.52	1226.00	118000	null	201703	16		2003
4215011300	강원도 강릉시 강문동	일반	1**	해안로	자연녹지	제2종근린생활	25m이상	2317.26	2269.00	220000	null	201703	29		2006
4215011000	강원도 강릉시 교동	일반	1**	율곡로	제2종일반주거	제1종근린생활	8m미만	158.08	135.00	12700	null	201703	4		1986
4215011000	강원도 강릉시 교동	일반	1***	임영로179번길	준주거	제2종근린생활	25m미만	234.54	92.90	18500	null	201703	18		1981
4215011000	강원도 강릉시 교동	일반	2**	율곡로2874번길	일반상업	숙박	12m미만	61.19	93.00	14159	null	201703	24		1974
4215011000	강원도 강릉시 교동	일반	1**	율곡로2868번길	일반상업	숙박	25m이상	162.88	126.00	28500	null	201703	25		1974
4215011000	강원도 강릉시 교동	일반	1**	강릉대로211번길	제2종일반주거	제1종근린생활	8m미만	159.64	151.00	13000	null	201703	28		1986
4215010600	강원도 강릉시 금학동	일반	8*	임영로116번안길	일반상업	제2종근린생활	12m미만	1807	487.00	208000	null	201703	24		2000
4215011900	강원도 강릉시 박월동	일반	6**	박월길	계획관리	제1종근린생활	12m미만	247	662.00	15500	null	201703	30		1996
4215013800	강원도 강릉시 안현동	집합	산1*	-	자연환경보전	숙박	-	52.37		5500	3	201703	6		1998
4215013800	강원도 강릉시 안현동	집합	9*	해안로	계획관리	제1종근린생활	25m이상	31.37		10000	null	201703	30		1981
4215037022	강원도 강릉시 연곡면 영진리	일반	3**	연주로	제2종일반주거	제2종근린생활	12m미만	449.87	1700.00	99000	null	201703	9		2014
4215010900	강원도 강릉시 옥천동	집합	2**	옥천로	일반상업	제1종근린생활	25m미만	15.9		1900	2	201703	21		1977
4215010900	강원도 강릉시 옥천동	일반	1**	율곡로	일반상업	업무	25m이상	6754.7	2023.60	547000	null	201703	22		1990
4215010900	강원도 강릉시 옥천동	일반	1**	옥천로71번길	일반상업	숙박	12m미만	417.82	165.30	40000	null	201703	27		1975
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로61번길	일반상업	숙박	12m미만	856.72	368.90	100000	null	201703	27		1989
4215010700	강원도 강릉시 용강동	집합	2*	임영로155번길	준주거	제1종근린생활	8m미만	14.35		850	null	201703	22		1982
4215010500	강원도 강릉시 임당동	일반	1**	경강로2069번길	일반상업	제1종근린생활	12m미만	193.03	366.00	50000	null	201703	4		1989
4215012500	강원도 강릉시 입암동	일반	2*	강변로534번길	일반공업	제2종근린생활	12m미만	75	1983.80	96300	null	201703	3		1987
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	12m미만	83.52		15500	3	201703	10		2006
4215012500	강원도 강릉시 입암동	일반	6**	강중길	제2종일반주거	제2종근린생활	12m미만	394.45	145.00	34000	null	201703	30		1995
4215011200	강원도 강릉시 초당동	일반	2**	초당원길	제2종일반주거	제1종근린생활	12m미만	65.7	147.00	5400	null	201703	7		1981
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로359번길	제2종일반주거	제1종근린생활	12m미만	128.64	254.60	22500	null	201703	15		1993
4215011100	강원도 강릉시 포남동	일반	9**	용지각길8번길	준주거	제1종근린생활	12m미만	478.47	201.00	30000	null	201703	28		1993
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로182번길	제2종일반주거	제2종근린생활	12m미만	13.5	546.20	39000	null	201703	31		2007
4215010100	강원도 강릉시 홍제동	집합	1***	선수촌로	준주거	제1종근린생활	25m이상	81.46		88069	1	201703	16		2016
4215010100	강원도 강릉시 홍제동	집합	1***	선수촌로	준주거	제1종근린생활	25m이상	31.2		35059	1	201703	20		2016
4282032031	강원도 고성군 죽왕면 문암진리	일반	1*	문암항길	계획관리	제1종근린생활	12m미만	90.74	208.00	6500	null	201703	22		1954
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	계획관리	숙박	25m이상	4.24		1300	3	201703	31		1992
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	3.56		170	20	201703	28		1991
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	10.03		2380	null	201703	9		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	.59		140	null	201703	16		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	6.79		1610	null	201703	16		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	4.13		980	null	201703	23		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	54.6		800	null	201703	23		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	6.2		1470	null	201703	31		1992
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	3.43		1200	null	201703	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2455	null	201703	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	6.04		200	7	201703	3		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2150	null	201703	9		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2200	null	201703	9		1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	13	201703	10		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	13	201703	10		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	13	201703	10		1997
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	15.59		7818	2	201703	14		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	23.14		10909	3	201703	14		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2350	null	201703	15		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	5.17		2650	2	201703	17		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	5.17		2600	5	201703	23		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2300	null	201703	27		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	5.15		2100	null	201703	28		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	5.17		2200	4	201703	29		2012
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	13	201703	30		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	13	201703	30		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		660	18	201703	30		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	1.9		517	44	201703	30		1997
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	20.07		10910	2	201703	31		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	3.43		1000	null	201703	31		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	5.17		2316	null	201703	31		2012
4217011500	강원도 동해시 구호동	일반	2**	공단2로	전용공업	제1종근린생활	12m미만	798.64	6048.70	60000	null	201703	15		2008
4217010700	강원도 동해시 동회동	집합	4**	효자남길	제3종일반주거	제2종근린생활	25m미만	93.24		7000	40	201703	10		2007
4217010700	강원도 동해시 동회동	일반	2**	효자로	제2종일반주거	제2종근린생활	25m이상	85.5	150.00	10000	null	201703	24		2000
4217010700	강원도 동해시 동회동	집합	4**	효자남길	제3종일반주거	제2종근린생활	25m미만	12.9		1880	null	201703	30		1995
4217010700	강원도 동해시 동회동	집합	4**	효자남길	제3종일반주거	제2종근린생활	25m미만	12.9		1890	null	201703	30		1995
4217010700	강원도 동해시 동회동	집합	4**	효자남길	제3종일반주거	제2종근린생활	25m미만	12.9		1880	null	201703	30		1995
4217012300	강원도 동해시 묵호진동	집합	8*	묵호시장길	일반상업	제1종근린생활	25m미만	45.98		7500	null	201703	7		1983
4217012300	강원도 동해시 묵호진동	집합	*	일출로	일반상업	제2종근린생활	25m미만	146.25		13200	null	201703	28		1998
4217011100	강원도 동해시 발한동	일반	2**	붉은언덕길	일반상업	제1종근린생활	12m미만	193.11	63.00	10400	null	201703	13		1988
4217010100	강원도 동해시 천곡동	일반	9**	한섬로	일반상업	제2종근린생활	25m미만	520.39	921.60	92700	null	201703	7		2007
4217010100	강원도 동해시 천곡동	집합	1***	천곡로	제2종일반주거	제1종근린생활	12m미만	16.5		2000	1	201703	31		1995
4223010700	강원도 삼척시 갈천동	집합	2**	-	자연녹지	숙박	-	5.67		2050	1	201703	29		2016
4223031029	강원도 삼척시 근덕면 동막리	일반	산3*	공양왕길	계획관리	제2종근린생활	8m미만	195.2	645.00	16000	null	201703	6		2013
4223012000	강원도 삼척시 남양동	집합	3**	남양길	일반상업	제1종근린생활	25m이상	297.29		21503	3	201703	21		1996
4223012000	강원도 삼척시 남양동	집합	3**	남양길	일반상업	제1종근린생활	25m이상	172.04		1000	null	201703	29		1996
