pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		370	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	5.27		243	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	3.58		165	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	5.27		243	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	3.58		165	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		276	null	201511	13		1990
4215010600	강원도 강릉시 금학동	집합	9*	신대학길	일반상업	제1종근린생활	12m미만	42.26		60420	1	201511	5		2015
4215012100	강원도 강릉시 노암동	일반	7**	임영로	제2종일반주거	제2종근린생활	25m미만	46.51	88.00	9500	null	201511	13		2000
4215010300	강원도 강릉시 명주동	일반	6*	경강로	제2종일반주거	제1종근린생활	25m이상	183.93	97.00	20000	null	201511	10		1980
4215036025	강원도 강릉시 사천면 사천진리	일반	2**	해안로	제2종일반주거	제2종근린생활	8m미만	464.02	680.00	50000	null	201511	15		2003
4215010800	강원도 강릉시 성남동	일반	1**	금성로	일반상업	제1종근린생활	25m미만	573.43	169.60	240000	null	201511	3		1973
4215010800	강원도 강릉시 성남동	일반	5*	중앙시장2길	일반상업	제1종근린생활	12m미만	835.58	253.80	63286	null	201511	30		1991
4215013800	강원도 강릉시 안현동	집합	9*	경포로	자연환경보전	제1종근린생활	25m이상	18.5		13000	1	201511	2		1996
4215035029	강원도 강릉시 옥계면 금진리	일반	5**	헌화로	계획관리	숙박	12m미만	365.26	310.00	20000	null	201511	30		1983
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로	일반상업	숙박	8m미만	605.41	165.30	55000	null	201511	10		1988
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로61번길	일반상업	숙박	12m미만	923.63	476.00	90000	null	201511	17		1989
4215010700	강원도 강릉시 용강동	일반	3*	토성로	제2종일반주거	제1종근린생활	25m미만	131.91	147.00	18300	null	201511	10		1992
4215010500	강원도 강릉시 임당동	일반	1**	경강로2067번길	일반상업	숙박	8m미만	664.94	265.00	56700	null	201511	17		1989
4215025022	강원도 강릉시 주문진읍 교항리	일반	1**	신리천로	제2종일반주거	제1종근린생활	25m미만	2212.31	1220.50	180000	null	201511	25		1995
4215025021	강원도 강릉시 주문진읍 주문리	집합	3**	해안로	일반상업	제1종근린생활	25m미만	30		9000	null	201511	20		1996
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로	제2종일반주거	제1종근린생활	25m이상	964.54	330.00	80000	null	201511	1		1993
4215011100	강원도 강릉시 포남동	일반	1***	남구길30번길	제2종일반주거	제2종근린생활	12m미만	10.49	49.26	2700	null	201511	6		2004
4215011100	강원도 강릉시 포남동	일반	1***	강릉대로457번길	제2종일반주거	제2종근린생활	25m미만	93.17	181.70	10000	null	201511	9		2001
4215011100	강원도 강릉시 포남동	일반	1***	남구길24번길	제2종일반주거	제2종근린생활	12m미만	80.64	148.30	7700	null	201511	18		1990
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로162번길	제2종일반주거	제2종근린생활	12m미만	493.65	201.70	32000	null	201511	20		1994
4215011100	강원도 강릉시 포남동	일반	1***	경강로	준주거	제1종근린생활	25m이상	486.76	146.00	37500	null	201511	21		1988
4215011100	강원도 강릉시 포남동	일반	1***	남구길30번길	제2종일반주거	제2종근린생활	12m미만	47.21	221.68	12670	null	201511	24		2004
4215010100	강원도 강릉시 홍제동	일반	6*	토성로	제2종일반주거	제2종근린생활	25m미만	99.54	99.00	14000	null	201511	1		1983
4282032027	강원도 고성군 죽왕면 구성리	일반	3**	구둔길	계획관리	제1종근린생활	8m미만	96.59	438.00	4150	null	201511	18		1978
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	4.75		250	null	201511	24		1991
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	9.83		2380	1	201511	2		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	6.65		1610	1	201511	9		1992
