pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215034022	강원도 강릉시 강동면 모전리	일반	3**	단경로	계획관리	제2종근린생활	12m미만	179.92	320.00	16900	null	201410	21		2004
4215034028	강원도 강릉시 강동면 정동진리	일반	3**	정동역길	계획관리	숙박	8m미만	491.37	331.00	86000	null	201410	6		1999
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	3.58		200	null	201410	17		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	5.34		200	null	201410	23		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		200	null	201410	24		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	4.15		200	null	201410	31		1990
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	3.58		200	null	201410	31		1990
4215013600	강원도 강릉시 난곡동	일반	1**	운정길	제1종일반주거	제1종근린생활	12m미만	492.72	3708.00	111000	null	201410	2		2001
4215013600	강원도 강릉시 난곡동	일반	1**	운정길	제1종일반주거	제1종근린생활	8m미만	494.4	3896.00	109000	null	201410	2		2007
4215036027	강원도 강릉시 사천면 방동리	일반	4**	방동길	계획관리	제2종근린생활	12m미만	196.25	625.00	25000	null	201410	14		1999
4215025021	강원도 강릉시 주문진읍 주문리	집합	3**	해안로	일반상업	제2종근린생활	25m미만	30		7950	1	201410	13		1996
4215025021	강원도 강릉시 주문진읍 주문리	일반	3**	항구2길	일반상업	제1종근린생활	8m미만	202.54	188.00	18820	null	201410	20		1980
4215025021	강원도 강릉시 주문진읍 주문리	일반	3**	주문로	일반상업	제2종근린생활	25m미만	555.97	287.00	61500	null	201410	25		1986
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로	준주거	제2종근린생활	25m이상	329.76	703.30	86000	null	201410	1		1996
4215011100	강원도 강릉시 포남동	일반	1***	성덕포남로188번길	제2종일반주거	제2종근린생활	12m미만	140.25	657.90	39500	null	201410	8		2007
4215011100	강원도 강릉시 포남동	일반	1***	경강로	일반상업	제2종근린생활	12m미만	572.72	307.90	45000	null	201410	10		1985
4215011100	강원도 강릉시 포남동	일반	1***	보래미하길	제2종일반주거	제1종근린생활	12m미만	397.98	231.70	23500	null	201410	24		1986
4282025321	강원도 고성군 거진읍 거진리	일반	2**	거진시장뒷길	준주거	숙박	8m미만	120.6	305.00	1016	null	201410	6		1976
4282032024	강원도 고성군 죽왕면 공현진리	일반	3**	선유담길	계획관리	제2종근린생활	8m미만	114	328.00	6000	null	201410	29		2002
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	5.94		370	null	201410	13		1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	계획관리	숙박	25m이상	4.75		250	10	201410	17		1991
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	8.57		2030	3	201410	2		1992
4282033030	강원도 고성군 토성면 신평리	일반	4**	신평골길	계획관리	숙박	12m미만	6.16	16.76	500	null	201410	6		1985
4282033030	강원도 고성군 토성면 신평리	집합	4**	신평골길	계획관리	숙박	12m미만	8.5		450	1	201410	8		1989
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	54.6		400	5	201410	10		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	.73		140	null	201410	13		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	.8		140	null	201410	13		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	.97		140	null	201410	14		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	15.93		2310	2	201410	14		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	16.41		2380	2	201410	14		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	72.4		870	2	201410	14		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	8.27		1960	3	201410	20		1992
4282033030	강원도 고성군 토성면 신평리	집합	4**	잼버리동로	계획관리	숙박	12m미만	19.29		3710	5	201410	27		1992
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	22.33		15000	1	201410	1		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	23.14		11149	3	201410	1		2012
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	5.4		1567	15	201410	2		1998
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	계획관리	숙박	12m미만	1.72	2.83	400	null	201410	6		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	10.3		2400	5	201410	7		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	미시령옛길	계획관리	숙박	12m미만	2.86		1720	null	201410	10		1991
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	20.07		12551	1	201410	13		2012
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	20.07		12551	1	201410	14		2012
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	3.2		888	23	201410	14		1997
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	계획관리	숙박	12m미만	2.7		679	13	201410	14		1997
4282033033	강원도 고성군 토성면 원암리	집합	4**	-	계획관리	숙박	12m미만	5.17		2730	3	201410	16		2012
