pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215034028	강원도 강릉시 강동면 정동진리	일반	*	헌화로	계획관리	제1종근린생활	12m미만	566.32	557.00	60000	null	201403	10		2002
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	56.1		14000	2	201403	20		1981
4215011300	강원도 강릉시 강문동	집합	3**	창해로	자연환경보전	제2종근린생활	12m미만	56.1		13000	2	201403	20		1981
4215011500	강원도 강릉시 견소동	일반	1**	창해로14번길	근린상업	제2종근린생활	12m미만	998.17	281.00	148000	null	201403	17		1996
4215011000	강원도 강릉시 교동	일반	1***	원대로	제2종일반주거	제2종근린생활	25m이상	490.6	165.30	36000	null	201403	5		1995
4215011000	강원도 강릉시 교동	일반	1**	율곡로2868번길	일반상업	숙박	8m미만	286.94	162.00	13700	null	201403	19		1974
4215010200	강원도 강릉시 남문동	일반	1**	남문길	제2종일반주거	제1종근린생활	12m미만	121.33	82.33	11200	null	201403	24		2003
4215011600	강원도 강릉시 내곡동	일반	4**	범일로	제2종일반주거	제2종근린생활	12m미만	474.17	314.00	40000	null	201403	20		2005
4215011600	강원도 강릉시 내곡동	일반	2**	범일로	자연녹지	제2종근린생활	12m미만	110.6	351.54	17100	null	201403	24		2005
4215012100	강원도 강릉시 노암동	일반	6**	노암등길	제2종일반주거	제2종근린생활	12m미만	490.79	165.00	30600	null	201403	12		1994
4215010800	강원도 강릉시 성남동	일반	9*	중앙시장2길	일반상업	제1종근린생활	12m미만	398.77	149.00	55000	null	201403	13		2001
4215010800	강원도 강릉시 성남동	일반	2**	중앙시장3길	일반상업	제2종근린생활	8m미만	490.55	201.00	38000	null	201403	17		1998
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	28.6		11600	6	201403	13		2009
4215010900	강원도 강릉시 옥천동	일반	3**	중기2길	제2종일반주거	제1종근린생활	25m미만	486.8	214.80	35500	null	201403	13		1996
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	48.28		21500	6	201403	13		2009
4215010900	강원도 강릉시 옥천동	집합	1**	경강로	일반상업	판매	25m이상	36.82		16400	6	201403	13		2009
4215012500	강원도 강릉시 입암동	집합	3**	성덕로	제3종일반주거	제1종근린생활	25m이상	40.74		8249	1	201403	5		2007
4215025022	강원도 강릉시 주문진읍 교항리	집합	4*	-	제2종일반주거	제2종근린생활	8m미만	85.32		5440	null	201403	28		1991
