pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	35.76		950	4	200809	9		1990
4215036022	강원도 강릉시 사천면 노동리	일반	5**	중앙서로	관리	제2종근린생활	12m미만	146.96	476.00	5100	null	200809	19		1997
4215036025	강원도 강릉시 사천면 사천진리	일반	2**	진리해변길	제2종일반주거	제1종근린생활	12m미만	326.86	160.00	28000	null	200809	4		1997
4215036025	강원도 강릉시 사천면 사천진리	일반	2**	진리해변길	제2종일반주거	제2종근린생활	12m미만	47.64	80.00	6500	null	200809	8		1996
4215010800	강원도 강릉시 성남동	일반	5*	중앙시장4길	일반상업	제2종근린생활	8m미만	66.64	99.20	9000	null	200809	20		2003
4215037022	강원도 강릉시 연곡면 영진리	일반	8*	영진길	제2종일반주거	제2종근린생활	8m미만	119.34	403.00	13500	null	200809	29		1983
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	43.68		23000	1	200809	1		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	128		30000	2	200809	1		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	114.31		30000	2	200809	1		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제1종근린생활	25m미만	222.28		120000	1	200809	2		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제1종근린생활	25m미만	43.68		26500	1	200809	17		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	43.68		26500	1	200809	17		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제1종근린생활	25m미만	55		33300	1	200809	17		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제2종근린생활	25m미만	43.68		26500	1	200809	17		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제1종근린생활	25m미만	56.28		34100	1	200809	18		2007
4215012500	강원도 강릉시 입암동	집합	2**	성덕로	제3종일반주거	제1종근린생활	25m미만	57.16		34600	1	200809	22		2007
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	관리	숙박	25m이상	12.71		750	6	200809	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	관리	숙박	25m이상	4.24		250	6	200809	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	관리	숙박	25m이상	4.24		250	6	200809	1	지분	1992
4282032029	강원도 고성군 죽왕면 삼포리	집합	2**	삼포해변길	관리	숙박	25m이상	12.71		250	6	200809	1	지분	1992
