pnu	시군구	유형	지번	도로명	용도지역	건축물주용도	도로조건	전용면적	대지면적	거래금액만원	층	계약연월	계약일	지분구분	건축년도
4215011300	강원도 강릉시 강문동	집합	*	창해로	자연환경보전	숙박	12m미만	5.34		600	4	200811	14	지분	1990
4215037022	강원도 강릉시 연곡면 영진리	일반	7*	해안로	제2종일반주거	제2종근린생활	12m미만	84.73	73.00	8200	null	200811	18		1992
4215010900	강원도 강릉시 옥천동	일반	2**	옥천로	일반상업	숙박	8m미만	170.38	139.80	5700	null	200811	9		1976
4215025022	강원도 강릉시 주문진읍 교항리	일반	7*	연주로	제2종일반주거	제1종근린생활	25m미만	71.55	137.90	8200	null	200811	13		1994
4215025021	강원도 강릉시 주문진읍 주문리	집합	3**	해안로	일반상업	제2종근린생활	25m미만	30		8500	1	200811	24		1996
4282025037	강원도 고성군 간성읍 흘리	집합	7*	-	관리	숙박	12m미만	22.48		500	null	200811	17	지분	1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	관리	숙박	25m이상	4.72		1700	5	200811	3	지분	1991
4282033035	강원도 고성군 토성면 봉포리	집합	4*	동해대로	관리	숙박	25m이상	5.94		380	2	200811	3	지분	1991
4282033030	강원도 고성군 토성면 신평리	일반	4**	신평골길	관리	숙박	12m미만	6.16	16.76	552	null	200811	3	지분	1985
4282033030	강원도 고성군 토성면 신평리	일반	4**	신평골길	관리	숙박	12m미만	3.67	12.21	850	null	200811	3	지분	1985
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1300	null	200811	3	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1400	null	200811	4	지분	1991
4282033033	강원도 고성군 토성면 원암리	집합	3**	고성대로	관리	숙박	12m미만	4.02		250	null	200811	4	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	5.4	8.59	500	null	200811	7	지분	1998
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1400	null	200811	10	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1100	null	200811	10	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	3.8	6.05	540	null	200811	17	지분	1998
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1100	null	200811	19	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	3.43	5.66	800	null	200811	20	지분	1991
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	3.8	6.05	540	null	200811	23	지분	1998
4282033033	강원도 고성군 토성면 원암리	일반	3**	고성대로	관리	숙박	12m미만	7.6	12.10	900	null	200811	25	지분	1998
4282033033	강원도 고성군 토성면 원암리	일반	4**	미시령옛길	관리	숙박	12m미만	5.15	8.50	1000	null	200811	26	지분	1991
4217012900	강원도 동해시 망상동	집합	3**	동해대로	자연녹지	제2종근린생활	12m미만	72		13000	null	200811	13		1998
4217011000	강원도 동해시 부곡동	일반	8*	부곡복개로	일반상업	숙박	8m미만	909.22	428.40	40000	null	200811	10		1990
4217010100	강원도 동해시 천곡동	집합	9**	동굴로	일반상업	제1종근린생활	25m미만	17.9		2500	1	200811	20		1993
4223010600	강원도 삼척시 교동	집합	7**	청석로	준주거	제1종근린생활	25m미만	120.08		23006	2	200811	9		2004
4223012000	강원도 삼척시 남양동	집합	5*	진주로	일반상업	판매	12m미만	15.86		270	2	200811	10		1992
4223025033	강원도 삼척시 도계읍 전두리	일반	8*	전두시장길	일반상업	제1종근린생활	8m미만	73.25	72.00	3650	null	200811	3		1950
4223025033	강원도 삼척시 도계읍 전두리	일반	8*	전두시장길	일반상업	제1종근린생활	8m미만	50.15	36.00	1700	null	200811	25		1951
4221010600	강원도 속초시 교동	일반	9**	먹거리4길	제1종일반주거	제1종근린생활	8m미만	229.32	204.90	21676	null	200811	4		1997
